relative_time,BarometerSensor
0,1022.2550048828125
41,1022.2677001953125
121,1022.2769775390625
200,1022.2636108398438
241,1022.2635498046875
321,1022.2500610351562
400,1022.2703857421875
442,1022.254150390625
522,1022.2784423828125
601,1022.27001953125
641,1022.2691040039062
720,1022.2656860351562
800,1022.2839965820312
840,1022.3037719726562
923,1022.270263671875
1002,1022.25048828125
1043,1022.2885131835938
1121,1022.2847900390625
1201,1022.290283203125
1241,1022.2880249023438
1321,1022.2696533203125
1401,1022.2454833984375
1442,1022.2470092773438
1521,1022.2324829101562
1601,1022.244384765625
1642,1022.2423706054688
1722,1022.2340087890625
1802,1022.214111328125
1841,1022.24853515625
1921,1022.2207641601562
2001,1022.2086181640625
2041,1022.1959228515625
2121,1022.1917114257812
2201,1022.1768188476562
2242,1022.16015625
2321,1022.1653442382812
2402,1022.1768188476562
2441,1022.1324462890625
2521,1022.120361328125
2601,1022.1049194335938
2642,1022.1122436523438
2721,1022.1047973632812
2801,1022.0943603515625
2842,1022.10205078125
2921,1022.0799560546875
3001,1022.0567626953125
3042,1022.0484619140625
3122,1022.0429077148438
3202,1022.0258178710938
3241,1021.9981689453125
3322,1021.9678344726562
3406,1021.9860229492188
3441,1021.938720703125
3521,1021.9326782226562
3604,1021.9202270507812
3641,1021.8583984375
3721,1021.8754272460938
3805,1021.8707885742188
3841,1021.84765625
3921,1021.8316650390625
4005,1021.796630859375
4041,1021.7640380859375
4122,1021.7658081054688
4205,1021.745361328125
4241,1021.7409057617188
4323,1021.7373046875
4401,1021.7093505859375
4441,1021.6956787109375
4523,1021.6520385742188
4601,1021.6298217773438
4641,1021.6406860351562
4724,1021.607666015625
4803,1021.5768432617188
4841,1021.5503540039062
4924,1021.5267333984375
5002,1021.4825439453125
5041,1021.491943359375
5126,1021.4498291015625
5203,1021.4727783203125
5241,1021.4314575195312
5324,1021.4161376953125
5402,1021.3992919921875
5441,1021.37353515625
5522,1021.3488159179688
5602,1021.3450927734375
5642,1021.3345336914062
5722,1021.3065185546875
5801,1021.2861328125
5843,1021.2677612304688
5922,1021.233154296875
6001,1021.2450561523438
6043,1021.1994018554688
6123,1021.1672973632812
6203,1021.1830444335938
6244,1021.1531372070312
6322,1021.1178588867188
6402,1021.0737915039062
6441,1021.057861328125
6523,1021.0515747070312
6600,1021.0096435546875
6641,1020.9963989257812
6721,1020.9998168945312
6802,1020.9750366210938
6842,1020.9603271484375
6922,1020.9545288085938
7002,1020.9137573242188
7042,1020.8837890625
7121,1020.8890991210938
7202,1020.8543090820312
7242,1020.8349609375
7322,1020.8314819335938
7401,1020.814697265625
7442,1020.745849609375
7520,1020.7848510742188
7601,1020.7351684570312
7642,1020.7036743164062
7721,1020.6858520507812
7801,1020.6585083007812
7841,1020.653076171875
7922,1020.6381225585938
8001,1020.60791015625
8041,1020.6248779296875
8122,1020.5879516601562
8202,1020.583251953125
8241,1020.541748046875
8321,1020.5197143554688
8402,1020.4889526367188
8441,1020.5148315429688
8522,1020.4617919921875
8601,1020.4522705078125
8641,1020.4290771484375
8721,1020.4179077148438
8802,1020.3787841796875
8841,1020.3743286132812
8921,1020.3247680664062
9000,1020.32666015625
9040,1020.291748046875
9121,1020.2841796875
9200,1020.256591796875
9240,1020.2412109375
9321,1020.2313842773438
9403,1020.2099609375
9441,1020.1930541992188
9521,1020.1583251953125
9604,1020.165771484375
9641,1020.1353759765625
9721,1020.1105346679688
9803,1020.0751953125
9842,1020.0715942382812
9921,1020.033203125
10001,1020.0310668945312
10041,1020.01806640625
10122,1019.9804077148438
10203,1019.980224609375
10240,1019.9594116210938
10321,1019.9494018554688
10401,1019.9210815429688
10441,1019.8653564453125
10523,1019.8386840820312
10602,1019.8329467773438
10641,1019.8165893554688
10721,1019.8042602539062
10803,1019.7811279296875
10841,1019.7620239257812
10922,1019.7478637695312
11002,1019.7182006835938
11042,1019.6824340820312
11123,1019.6931762695312
11201,1019.6776733398438
11241,1019.6390991210938
11324,1019.61962890625
11401,1019.6082153320312
11442,1019.5715942382812
11521,1019.580078125
11602,1019.5569458007812
11641,1019.5704345703125
11723,1019.5206909179688
11801,1019.5025634765625
11842,1019.481689453125
11922,1019.4513549804688
12001,1019.4901733398438
12043,1019.46728515625
12122,1019.4468383789062
12201,1019.4379272460938
12243,1019.4158325195312
12321,1019.385986328125
12401,1019.383544921875
12441,1019.3923950195312
12522,1019.3646240234375
12601,1019.3544311523438
12642,1019.3157348632812
12722,1019.3169555664062
12801,1019.33154296875
12842,1019.28759765625
12922,1019.2900390625
13001,1019.2932739257812
13042,1019.2518310546875
13121,1019.2622680664062
13201,1019.2767944335938
13242,1019.2557983398438
13321,1019.2171630859375
13401,1019.2330322265625
13441,1019.2285766601562
13522,1019.232421875
13602,1019.2113037109375
13642,1019.23291015625
13721,1019.1961669921875
13801,1019.2031860351562
13842,1019.202880859375
13922,1019.2061157226562
14002,1019.1796264648438
14042,1019.1898803710938
14121,1019.16796875
14202,1019.1405639648438
14241,1019.147216796875
14321,1019.159912109375
14401,1019.1524047851562
14440,1019.1744995117188
14520,1019.1729125976562
14601,1019.1743774414062
14641,1019.1588745117188
14722,1019.1842651367188
14801,1019.170166015625
14841,1019.17578125
14921,1019.171142578125
15000,1019.163818359375
15088,1019.1751098632812
15168,1019.1776733398438
